frame,x,y,z,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal
0,"[1.79492188 1.90429688 1.8671875  1.83203125 1.64453125 1.56835938
 1.61132812 1.56835938 1.70898438 1.9375     1.90429688 1.00585938
 1.02539062]","[0.         0.         0.         0.         1.71875    1.7578125
 1.65234375 1.75       1.796875   0.         0.         2.02929688
 2.10546875]","[-2.0625     -2.0859375  -1.87890625 -1.71679688  0.24023438  0.40820312
  0.41015625  0.43554688  0.16601562 -2.01171875 -2.33984375  0.390625
  0.09375   ]",13,[49 50 49 50 51 51 50 51 53 49 50 49 50],"[2.296875 2.34375  2.296875 2.34375  2.390625 2.390625 2.34375  2.390625
 2.484375 2.296875 2.34375  2.296875 2.34375 ]",[ 0  0  1  1  2  4  5  5 -2 -1 -1  0 -1],"[ 0.          0.          0.12526054  0.12526054  0.25052108  0.50104217
  0.62630271  0.62630271 -0.25052108 -0.12526054 -0.12526054  0.
 -0.12526054]",[5 6 7 7 9 8 6 7 9 6 7 3 4]
0,"[1.8671875  1.90429688 1.8671875  1.83203125 1.56835938 1.67578125
 1.78515625 1.02539062]","[0.         0.         0.         0.         1.7578125  1.640625
 1.67773438 2.08789062]","[-1.84960938 -2.05078125 -2.17578125  2.34375     0.40820312  0.6640625
  0.40820312  0.29296875]",8,[49 50 49 50 51 52 53 50],[2.296875 2.34375  2.296875 2.34375  2.390625 2.4375   2.484375 2.34375 ],[ 0  0  1  1  5 -2 -2  0],"[ 0.          0.          0.12526054  0.12526054  0.62630271 -0.25052108
 -0.25052108  0.        ]",[ 6  7 10 10  8  7  9  4]
0,"[1.8671875  1.90429688 1.79492188 1.97851562 1.56835938 1.67578125
 0.93359375 1.02539062]","[0.         0.         0.         0.         1.80273438 1.76757812
 2.08984375 2.08789062]","[-2.04492188 -2.20507812 -2.21289062  2.31640625  0.04101562  0.09765625
  0.19921875  0.29296875]",8,[49 50 49 50 51 52 49 50],[2.296875 2.34375  2.296875 2.34375  2.390625 2.4375   2.296875 2.34375 ],[0 0 1 1 2 2 1 1],"[0.         0.         0.12526054 0.12526054 0.25052108 0.25052108
 0.12526054 0.12526054]",[6 6 6 6 7 7 4 4]
0,[1.79492188 1.90429688 1.79492188 1.7578125  1.00585938],[0.         0.         0.         0.         2.06445312],[-1.7734375  -1.89257812 -2.10351562 -2.08789062  0.05273438],5,[49 50 49 50 49],[2.296875 2.34375  2.296875 2.34375  2.296875],[ 0  0 -1 -1  0],[ 0.          0.         -0.12526054 -0.12526054  0.        ],[5 6 8 8 3]
0,"[1.46484375 1.64453125 1.59960938 1.46484375 1.56835938 1.67578125
 1.56835938 1.59960938 1.56835938]","[1.83007812 1.73242188 1.82421875 1.8203125  1.77929688 1.76953125
 1.79492188 1.8359375  1.77929688]","[ 0.          0.12695312  0.23046875  0.18359375  0.29882812  0.02539062
  0.17382812 -0.09765625  0.29882812]",9,[50 51 52 50 51 52 51 52 51],"[2.34375  2.390625 2.4375   2.34375  2.390625 2.4375   2.390625 2.4375
 2.390625]",[2 2 2 3 3 3 4 4 5],"[0.25052108 0.25052108 0.25052108 0.37578163 0.37578163 0.37578163
 0.50104217 0.50104217 0.62630271]",[ 7 12 10  6 10  9  9  7  8]
0,"[1.97851562 1.8671875  1.83203125 1.68554688 1.71875    1.67578125
 1.68554688 1.64453125 1.59960938 1.68554688 1.64453125 1.64453125
 1.79492188 1.97851562 0.93359375 1.02539062]","[0.         0.         0.         1.23828125 1.56054688 1.74023438
 1.54296875 1.6796875  1.82421875 1.59179688 1.7109375  1.67773438
 0.         0.         2.09375    2.10351562]","[-1.79882812  2.05273438  1.8125      1.06054688  0.57226562  0.328125
  0.52148438  0.43554688  0.23242188  0.34765625  0.29882812  0.44921875
 -1.81445312 -2.0625      0.14453125  0.14648438]",16,[50 49 50 50 51 52 50 51 52 50 51 51 49 50 49 50],"[2.34375  2.296875 2.34375  2.34375  2.390625 2.4375   2.34375  2.390625
 2.4375   2.34375  2.390625 2.390625 2.296875 2.34375  2.296875 2.34375 ]",[ 0  1  1  2  2  2  3  3  3  4  4  5 -1 -1 -1 -1],"[ 0.          0.12526054  0.12526054  0.25052108  0.25052108  0.25052108
  0.37578163  0.37578163  0.37578163  0.50104217  0.50104217  0.62630271
 -0.12526054 -0.12526054 -0.12526054 -0.12526054]",[ 5  8  8 11 12  9  9 11  8  8  9 10  7  7  4  4]
0,"[-0.3515625   1.68554688  1.64453125  1.67578125  1.46484375  1.56835938
  1.67578125  1.64453125  1.46484375  1.64453125]","[0.42578125 1.62890625 1.73632812 1.75976562 1.80664062 1.765625
 1.75390625 1.72070312 1.82617188 1.7109375 ]","[0.109375   0.0546875  0.0546875  0.1953125  0.29492188 0.375
 0.234375   0.23046875 0.10546875 0.29882812]",10,[12 50 51 52 50 51 52 51 50 51],"[0.5625   2.34375  2.390625 2.4375   2.34375  2.390625 2.4375   2.390625
 2.34375  2.390625]",[1 2 2 2 3 3 3 4 5 5],"[0.12526054 0.25052108 0.25052108 0.25052108 0.37578163 0.37578163
 0.37578163 0.50104217 0.62630271 0.62630271]",[ 5 10 14 12  7 12 11 11  6 10]
0,"[-0.31640625 -0.38085938  1.5390625   1.64453125  1.67578125  1.61132812
  1.71875     1.67578125  1.59960938 -0.31640625  1.79492188 -0.28125   ]","[0.45898438 0.47070312 1.62695312 1.66796875 1.74414062 1.578125
 1.53710938 1.6953125  1.67382812 0.46484375 0.         0.48632812]","[ 7.42187500e-02  6.64062500e-02  6.93359375e-01  4.80468750e-01
  3.04687500e-01  6.38671875e-01  6.34765625e-01  5.11718750e-01
  7.61718750e-01  1.95312500e-03 -2.00976562e+00 -3.71093750e-02]",12,[12 13 50 51 52 50 51 52 52 12 49 12],"[0.5625   0.609375 2.34375  2.390625 2.4375   2.34375  2.390625 2.4375
 2.4375   0.5625   2.296875 0.5625  ]",[ 1  1  2  2  2  3  3  3 -2 -1 -1 -1],"[ 0.12526054  0.12526054  0.25052108  0.25052108  0.25052108  0.37578163
  0.37578163  0.37578163 -0.25052108 -0.12526054 -0.12526054 -0.12526054]",[ 8  6  8 12 10  9 11  8  7  6  7  6]
0,"[-0.40234375 -0.45703125 -0.51367188  1.79492188  1.68554688  1.71875
  1.75195312  1.39257812  1.56835938  1.59960938  1.97851562 -0.24609375
 -0.3046875  -2.34375   ]","[0.31445312 0.29296875 0.08789062 0.         1.60351562 1.63476562
 1.609375   1.859375   1.74609375 1.79492188 0.         0.45703125
 0.51367188 0.        ]","[ 0.0703125   0.14648438  0.31445312 -2.02148438 -0.29296875  0.29882812
  0.53320312  0.31640625  0.45117188  0.40234375 -2.08789062 -0.21679688
 -0.12109375 -1.99804688]",14,[11 12 13 49 50 51 52 50 51 52 50 12 13 50],"[0.515625 0.5625   0.609375 2.296875 2.34375  2.390625 2.4375   2.34375
 2.390625 2.4375   2.34375  0.5625   0.609375 2.34375 ]",[ 1  1  1  1  2  2  2  3  3  3 -1  1  1  3],"[ 0.12526054  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108
  0.25052108  0.37578163  0.37578163  0.37578163 -0.12526054  0.12526054
  0.12526054  0.37578163]",[13 12  6  7 11 14 10  7 11  9  6  9  6  4]
0,"[-0.421875   -0.37109375 -0.38671875 -0.4375     -0.421875    1.46484375
  1.49414062  1.56835938  1.64453125  1.49414062  1.78515625 -0.2109375
  0.57226562 -0.22851562]","[0.37109375 0.33203125 0.38476562 0.41796875 0.34179688 1.796875
 1.83789062 1.71289062 1.6796875  1.78710938 1.71679688 0.45898438
 0.         0.3828125 ]","[0.02148438 0.13671875 0.13671875 0.06640625 0.1484375  0.34570312
 0.32226562 0.56640625 0.43945312 0.5390625  0.19726562 0.24609375
 0.47460938 0.34375   ]",14,[12 11 12 13 12 50 51 51 51 51 53 12 13 12],"[0.5625   0.515625 0.5625   0.609375 0.5625   2.34375  2.390625 2.390625
 2.390625 2.390625 2.484375 0.5625   0.609375 0.5625  ]",[ 0  1  1  1  2  2  2  3  4  5 -2  0  1  2],"[ 0.          0.12526054  0.12526054  0.12526054  0.25052108  0.25052108
  0.25052108  0.37578163  0.50104217  0.62630271 -0.25052108  0.
  0.12526054  0.25052108]",[ 7 19 19  7  7  8 10 10  8  6  8  4  6  4]
